SampleID,SourceID,ProjectID,LGC
G327905,asd,mrd,FALSE
G327906,asd,mrd,FALSE
G327907,asd,mrd,FALSE
G327908,asd,mrd,FALSE
G327909,asd,mrd,FALSE
G327912,asd,mrd,FALSE
G327913,asd,mrd,FALSE
G327914,asd,mrd,FALSE
G327915,asd,mrd,FALSE
G327917,asd,mrd,FALSE
G327918,asd,mrd,FALSE
G327919,asd,mrd,FALSE
G327920,asd,mrd,FALSE
G327921,asd,mrd,FALSE
G327922,asd,mrd,FALSE
G327923,asd,mrd,FALSE
G327924,asd,mrd,FALSE
G327925,asd,mrd,FALSE
G327926,asd,mrd,FALSE
G327927,asd,mrd,FALSE
G327928,asd,mrd,FALSE
G327929,asd,mrd,FALSE
G327930,asd,mrd,FALSE
GRA07001,asd,mrd,FALSE
GRA07002,asd,mrd,FALSE
GRA07003,asd,mrd,FALSE
GRA07004,asd,mrd,FALSE
GRA07005,asd,mrd,FALSE
GRA07006_1,asd,mrd,FALSE
GRA07006_2,asd,mrd,FALSE
GRA07008_1,asd,mrd,FALSE
GRA07008_2,asd,mrd,FALSE
GRA07009,asd,mrd,FALSE
GRA07010,asd,mrd,FALSE
GRA07011,asd,mrd,FALSE
GRA07013,asd,mrd,FALSE
GRA07014A,asd,mrd,FALSE
GRA07014B,asd,mrd,FALSE
GRA07015,asd,mrd,FALSE
GRA07016,asd,mrd,FALSE
GRA07025_1,asd,mrd,FALSE
GRA07025_2,asd,mrd,FALSE
GRA07026,asd,mrd,FALSE
GRA07027,asd,mrd,FALSE
GRA07028_1,asd,mrd,FALSE
GRA07028_2,asd,mrd,FALSE
GRA07029_1,asd,mrd,FALSE
GRA07029_2,asd,mrd,FALSE
GRA07030,asd,mrd,FALSE
GRA07031,asd,mrd,FALSE
GRA07032,asd,mrd,FALSE
GRA07033,asd,mrd,FALSE
GRA07034,asd,mrd,FALSE
GRA07035,asd,mrd,FALSE
GRA07037,asd,mrd,FALSE
GRA07038,asd,mrd,FALSE
GRA07041,asd,mrd,FALSE
GRA07042_1,asd,mrd,FALSE
GRA07042_2,asd,mrd,FALSE
GRA07043,asd,mrd,FALSE
GRA07044,asd,mrd,FALSE
GRA07045,asd,mrd,FALSE
GRA07048,asd,mrd,FALSE
GRA07049_1,asd,mrd,FALSE
GRA07049_2,asd,mrd,FALSE
GRA07050,asd,mrd,FALSE
GRA07051,asd,mrd,FALSE
GRA07052,asd,mrd,FALSE
GRA07054_1,asd,mrd,FALSE
GRA07054_2,asd,mrd,FALSE
GRA07055_1,asd,mrd,FALSE
GRA07055_2,asd,mrd,FALSE
GRA07056,asd,mrd,FALSE
GRA07057_1,asd,mrd,FALSE
GRA07057_2,asd,mrd,FALSE
GRA07058_1,asd,mrd,FALSE
GRA07058_2,asd,mrd,FALSE
GRA07059_1,asd,mrd,FALSE
GRA07059_2,asd,mrd,FALSE
GRA07060,asd,mrd,FALSE
GRA07061_1,asd,mrd,FALSE
GRA07061_2,asd,mrd,FALSE
GRA07061_clast,asd,mrd,FALSE
GRA07062_1,asd,mrd,FALSE
GRA07062_2,asd,mrd,FALSE
GRA07063,asd,mrd,FALSE
GRA07064_1,asd,mrd,FALSE
GRA07064_2,asd,mrd,FALSE
GRA07065,asd,mrd,FALSE
GRA07065B,asd,mrd,FALSE
GRA07065_fresh,asd,mrd,FALSE
GRA07066A,asd,mrd,FALSE
GRA07066B_vein,asd,mrd,FALSE
GRA07067,asd,mrd,FALSE
GRA07068,asd,mrd,FALSE
GRA07069_1,asd,mrd,FALSE
GRA07069_2,asd,mrd,FALSE
GRA07070,asd,mrd,FALSE
GRA07071,asd,mrd,FALSE
GRA07072_cut,asd,mrd,FALSE
GRA07072_fresh,asd,mrd,FALSE
GRA07073,asd,mrd,FALSE
